user_id,post_id,post_type
4528728,58681475,'question'
932076,58659926,'question'
7568091,58582117,'question'
4528728,58579565,'question'
9018487,58522793,'question'
8960078,58523797,'question'
5613164,58428100,'question'
1829329,44662312,'question'
5150012,35882994,'question'
1621232,58173711,'question'
4641854,40392524,'question'
84540,57815212,'question'
600641,51005645,'question'
4409029,57473557,'question'
10865585,57334966,'question'
853682,57306568,'question'
11836252,57202410,'question'
5233175,56960908,'question'
1644471,56909385,'question'
3244776,56903980,'question'
286285,56776793,'question'
4552814,56728897,'question'
2296145,56613171,'question'
3880296,56417562,'question'
5483488,56346738,'question'
3527983,56351454,'question'
11234510,56118648,'question'
7324619,56102816,'question'
2992101,56060983,'question'
2284570,55983951,'question'
2281274,55910367,'question'
7853379,55864728,'question'
4396823,30399953,'question'
801924,55548553,'question'
725937,23629201,'question'
4203532,55083797,'question'
4203532,55083104,'question'
2408867,43676928,'question'
558098,54881822,'question'
3063273,54870420,'question'
1338952,44709632,'question'
211280,54504026,'question'
3274010,54453085,'question'
268567,32552593,'question'
2200659,54265184,'question'
4978464,54259336,'question'
6882497,54177438,'question'
1203556,54167993,'question'
2989337,54154945,'question'
1932934,48739776,'question'
3145469,41869672,'question'
2469620,53947975,'question'
4562090,52001160,'question'
198927,53866508,'question'
6775287,53798224,'question'
3216180,31391581,'question'
2626000,53713354,'question'
2812542,53530339,'question'
1019129,53418328,'question'
8659809,53050214,'question'
4186073,40862191,'question'
5903025,45624813,'question'
2519977,52718513,'question'
2213013,44789286,'question'
5520874,33895090,'question'
3079016,23623957,'question'
57171,45059538,'question'
5808553,52256104,'question'
2202392,26771078,'question'
9159340,52005382,'question'
139802,27062874,'question'
3809199,24831573,'question'
692168,51065294,'question'
1062636,30353462,'question'
8159982,45713314,'question'
4605629,50462046,'question'
2962931,32736170,'question'
1048572,50162597,'question'
4528728,50180069,'question'
3466751,33765397,'question'
953419,49610853,'question'
4051748,49520931,'question'
129805,26364310,'question'
4453524,49140221,'question'
892819,27876588,'question'
3265676,48711176,'question'
9337945,48704474,'question'
3630178,48550453,'question'
8902004,48212841,'question'
6860744,48046336,'question'
6860744,47946335,'question'
1473169,47876488,'question'
7595633,47872625,'question'
3316999,47854545,'question'
9092224,47797743,'question'
6261816,47791312,'question'
2752635,47764050,'question'
2752635,47748091,'question'
2991833,47477301,'question'
3274909,47379390,'question'
4605629,47245397,'question'
454378,47248268,'question'
4605629,47159418,'question'
2936448,46945500,'question'
2936448,46939217,'question'
6727725,46816614,'question'
7434592,46667593,'question'
8159982,45232838,'question'
2512774,46287818,'question'
5179678,46167642,'question'
8159982,45833618,'question'
4847959,45803779,'question'
7268884,45690562,'question'
8159982,45391874,'question'
4737924,45360245,'question'
356011,45229167,'question'
2173516,44776591,'question'
1823524,44619400,'question'
4110256,27238547,'question'
3004044,44289831,'question'
2250791,44210486,'question'
6290347,44182269,'question'
9686,44127179,'question'
1146183,44117647,'question'
1610428,43991870,'question'
1610428,43859333,'question'
1610428,43840415,'question'
1610428,43841496,'question'
167531,20698384,'question'
1552674,43651942,'question'
1819861,43641728,'question'
6720987,43009835,'question'
4141219,42877213,'question'
5573030,42538463,'question'
3986895,42418964,'question'
12089,39277157,'question'
3191204,42352499,'question'
432509,42198466,'question'
3241447,35064376,'question'
2971839,41731700,'question'
7388133,41533360,'question'
1489340,41423340,'question'
7331895,41350816,'question'
432509,41094315,'question'
3150550,40964474,'question'
3666903,40767894,'question'
4641854,40368148,'question'
6292577,40354679,'question'
5666325,40163538,'question'
508716,39881365,'question'
4264914,39924909,'question'
5967828,39888301,'question'
6879615,39693063,'question'
635786,39684780,'question'
562222,39495717,'question'
1870153,39511525,'question'
5967828,39429218,'question'
2329104,39365302,'question'
2329104,39325701,'question'
1942629,36660941,'question'
5967828,39127218,'question'
4329758,39026186,'question'
432509,39008880,'question'
2023432,38735122,'question'
432509,38778662,'question'
432509,38782070,'question'
432509,38756951,'question'
4777440,38585449,'question'
2057294,37799454,'question'
1750757,37434695,'question'
5054909,36993255,'question'
3466751,34552927,'question'
4468905,35691109,'question'
5967828,35772635,'question'
220447,35649968,'question'
5904314,35488820,'question'
3745005,34838531,'question'
3745005,34473565,'question'
4808573,34145148,'question'
3466751,33770989,'question'
3241447,33444218,'question'
389119,33043280,'question'
109549,32786089,'question'
5357246,32685622,'question'
2046365,32674398,'question'
1088057,32490756,'question'
109549,32403895,'question'
2094999,32314270,'question'
498594,31751642,'question'
4867446,31758933,'question'
4048277,25880043,'question'
2980246,31185585,'question'
4465497,31084328,'question'
2294472,30785915,'question'
1447973,23585651,'question'
956680,29957013,'question'
129805,26360312,'question'
4464757,28000113,'question'
3071121,27686557,'question'
139802,27134168,'question'
3545872,26051433,'question'
3962074,25563667,'question'
70600,25274493,'question'
1753601,25231320,'question'
1366913,25189453,'question'
70600,25109962,'question'
2128425,24707129,'question'
902883,23140519,'question'
2157639,22935449,'question'
584423,16601160,'question'
